f0_,a_stn,a_wban,lat,lon,elev,year,mo,da,temp,dewp,stp,visib,wdsp,mxpsd,max,min,prcp,sndp,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud
21,747804,13824,32.017,-81.133,+0012.5,2017,01,22,62.0,62.0,1000.8,7.3,6.8,15.0,74.5,59.5,1.82,999.9,0,1,0,0,1,0
22,723200,93801,34.348,-85.161,+0194.8,2017,07,16,77.1,72.3,992.7,6.1,1.4,6.0,90.0,69.8,1.38,999.9,1,0,0,0,0,0
23,723160,13870,31.536,-82.507,+0058.8,2017,08,29,78.7,67.4,1005.9,9.9,3.5,7.0,88.0,72.0,0.0,999.9,0,0,0,0,0,0
24,722197,53819,33.355,-84.567,+0243.2,2017,10,09,75.4,73.5,985.0,7.4,2.9,7.0,77.0,72.0,1.59,999.9,0,1,0,0,1,0
25,723110,13873,33.948,-83.328,+0239.3,2017,08,11,77.0,74.6,990.4,8.5,2.3,7.0,86.0,71.1,0.3,999.9,1,1,0,0,1,0
26,722196,53863,33.875,-84.302,+0305.4,2017,02,08,57.1,54.9,973.4,4.0,3.2,8.9,66.9,46.0,0.64,999.9,1,1,0,0,0,0
27,722195,03888,33.779,-84.521,+0256.0,2017,06,21,73.9,71.6,988.4,9.5,2.7,7.0,80.1,70.0,1.61,999.9,0,1,0,0,0,0
28,722166,93845,30.783,-83.277,+0060.4,2017,01,03,68.8,65.4,1007.2,9.1,5.6,9.9,80.1,60.1,1.07,999.9,0,1,0,0,1,0
29,722181,13837,33.467,-82.039,+0128.9,2017,01,01,50.3,45.1,1005.7,5.1,3.6,9.9,60.8,44.1,0.28,999.9,0,1,0,0,0,0
30,722255,93842,32.516,-84.942,+0119.5,2017,02,08,59.6,56.9,995.4,6.8,3.3,12.0,72.0,51.1,0.92,999.9,0,1,0,0,0,0
31,722156,53873,34.123,-84.849,+0232.6,2017,10,08,74.0,73.0,982.9,7.3,6.0,12.0,84.9,64.0,0.39,999.9,0,1,0,0,0,0
32,722185,53838,34.272,-83.83,+0388.6,2017,07,16,77.2,71.7,971.4,10.0,2.9,8.9,87.1,71.1,0.0,999.9,0,0,0,0,0,0
33,722255,93842,32.516,-84.942,+0119.5,2017,08,04,76.5,71.9,1003.7,9.3,4.1,13.0,82.9,72.0,0.39,999.9,1,1,0,0,0,0
34,722137,13878,31.152,-81.391,+0004.9,2017,10,08,81.2,78.2,1013.1,9.6,9.0,14.0,87.1,75.0,0.0,999.9,0,1,0,0,1,0
35,722166,93845,30.783,-83.277,+0060.4,2017,08,04,76.4,74.1,1011.9,8.2,4.3,8.9,88.0,71.1,0.05,999.9,1,1,0,0,1,0
36,722181,13837,33.467,-82.039,+0128.9,2017,05,23,71.4,66.5,995.7,8.9,2.7,6.0,73.0,69.1,0.81,999.9,0,1,0,0,0,0
37,747810,13857,30.967,-83.2,+0071.0,2017,01,15,61.8,56.4,1017.6,5.3,0.6,5.1,76.8,46.6,0.0,999.9,1,1,0,0,0,0
38,723160,13870,31.536,-82.507,+0058.8,2017,09,11,67.7,63.7,992.9,5.3,13.3,21.0,75.0,62.6,2.04,999.9,1,1,0,0,0,0
39,722190,13874,33.63,-84.442,+0307.9,2017,05,05,54.0,50.7,965.7,8.5,9.5,14.0,73.0,48.9,0.63,999.9,0,1,0,0,0,0
40,722195,03888,33.779,-84.521,+0256.0,2017,10,10,77.2,73.2,987.7,6.4,2.8,8.0,87.1,71.1,0.03,999.9,1,0,0,0,0,0
41,747810,13857,30.967,-83.2,+0071.0,2017,01,03,68.3,64.0,1005.3,8.7,7.4,25.1,79.0,62.6,0.0,999.9,0,1,0,0,1,0
42,722180,03820,33.364,-81.963,+0040.2,2017,01,03,65.3,59.0,1007.1,6.8,5.9,11.1,73.9,60.1,2.41,999.9,0,1,0,0,1,0
43,722185,53838,34.272,-83.83,+0388.6,2017,05,13,65.2,63.1,963.7,5.7,3.9,8.0,80.1,61.0,0.55,999.9,1,1,0,0,1,0
44,722255,93842,32.516,-84.942,+0119.5,2017,10,09,77.8,73.7,998.5,8.7,5.5,9.9,84.0,75.0,1.44,999.9,0,1,0,0,0,0
45,723160,13870,31.536,-82.507,+0058.8,2017,07,27,79.8,74.0,1008.8,8.6,2.4,7.0,91.0,73.0,0.02,999.9,0,1,0,0,0,0
46,722160,13869,31.536,-84.194,+0057.9,2017,06,20,74.9,73.5,1011.2,7.5,3.3,7.0,86.0,71.1,0.08,999.9,0,1,0,0,0,0
47,723160,13870,31.536,-82.507,+0058.8,2017,09,02,78.0,72.2,1009.3,8.8,2.3,12.0,91.9,72.0,0.29,999.9,1,1,0,0,1,0
48,722185,53838,34.272,-83.83,+0388.6,2017,07,08,76.9,70.4,971.4,9.7,8.0,18.1,89.1,70.0,0.0,999.9,0,1,0,0,0,0
49,723200,93801,34.348,-85.161,+0194.8,2017,09,12,61.6,61.1,980.9,5.6,10.2,19.0,64.9,57.0,3.31,999.9,0,1,0,0,0,0
50,723110,13873,33.948,-83.328,+0239.3,2017,09,11,59.6,55.6,984.0,6.6,14.6,28.0,69.1,57.0,0.25,999.9,0,1,0,0,0,0
51,722180,03820,33.364,-81.963,+0040.2,2017,01,17,64.9,55.8,1018.2,6.8,4.7,11.1,80.1,46.0,0.0,999.9,1,0,0,0,0,0
52,722156,53873,34.123,-84.849,+0232.6,2017,09,06,67.9,61.1,986.6,9.0,2.7,9.9,88.0,60.1,0.31,999.9,0,1,0,0,1,0
53,747808,63803,33.98,-83.963,+0323.4,2017,09,30,73.0,57.4,982.3,10.0,6.3,9.9,86.0,66.0,0.0,999.9,0,0,0,0,0,0
54,722166,93845,30.783,-83.277,+0060.4,2017,07,23,78.1,74.5,1008.6,9.2,3.7,9.9,93.0,68.0,0.0,999.9,0,1,0,0,0,0
55,722255,93842,32.516,-84.942,+0119.5,2017,01,22,59.8,57.8,984.5,8.6,6.4,27.0,68.0,55.0,1.86,999.9,0,1,0,0,1,0
56,723160,13870,31.536,-82.507,+0058.8,2017,01,21,68.9,66.3,1003.0,8.6,6.6,21.0,77.0,60.1,0.05,999.9,1,1,0,0,1,0
57,722255,93842,32.516,-84.942,+0119.5,2017,07,17,78.1,71.7,1001.5,10.0,2.6,14.0,89.1,73.0,0.42,999.9,0,1,0,0,1,0
58,747810,13857,30.967,-83.2,+0071.0,2017,01,26,65.6,53.7,1004.4,10.0,10.4,15.9,68.0,59.4,0.0,999.9,0,1,0,0,0,0
59,722195,03888,33.779,-84.521,+0256.0,2017,07,01,76.8,72.9,988.4,9.6,5.4,11.1,88.0,71.1,0.68,999.9,0,1,0,0,1,0
60,723160,13870,31.536,-82.507,+0058.8,2017,06,08,71.4,62.3,1002.1,8.7,4.4,7.0,82.9,63.0,0.36,999.9,0,1,0,0,0,0
61,722196,53863,33.875,-84.302,+0305.4,2017,06,30,72.9,69.7,983.1,7.8,5.3,13.0,81.0,69.8,0.87,999.9,1,1,0,0,0,0
62,723110,13873,33.948,-83.328,+0239.3,2017,08,31,71.5,70.8,989.0,6.5,2.0,6.0,81.0,66.9,0.69,999.9,1,1,0,0,0,0
63,722270,13864,33.917,-84.517,+0325.5,2017,01,21,59.9,56.9,970.2,6.1,2.7,13.0,73.0,54.3,0.0,999.9,1,1,0,0,1,0
64,722175,13860,32.633,-83.6,+0089.6,2017,01,21,65.0,62.8,997.9,8.3,6.0,20.0,74.1,59.9,0.0,999.9,0,1,0,0,1,0
65,722195,03888,33.779,-84.521,+0256.0,2017,06,12,78.8,71.3,990.8,10.0,4.0,14.0,88.0,63.0,0.0,999.9,0,1,0,0,1,0
66,722197,53819,33.355,-84.567,+0243.2,2017,02,22,63.5,59.3,983.4,6.5,3.9,8.0,71.1,46.0,0.65,999.9,0,1,0,0,0,0
67,722090,03875,31.883,-81.567,+0013.7,2017,10,04,73.5,62.5,1024.0,10.0,8.4,13.0,84.0,66.0,0.0,999.9,0,0,0,0,0,0
68,723160,13870,31.536,-82.507,+0058.8,2017,01,07,43.8,40.8,1010.9,7.9,9.5,17.1,55.9,37.0,1.45,999.9,0,1,0,0,0,0
69,722190,13874,33.63,-84.442,+0307.9,2017,09,11,60.7,54.3,975.2,6.7,22.2,36.9,73.9,57.0,0.23,999.9,0,1,0,0,0,0
70,722185,53838,34.272,-83.83,+0388.6,2017,08,09,72.0,68.7,975.1,10.0,6.6,12.0,80.1,68.0,0.14,999.9,0,1,0,0,0,0
71,722070,03822,32.131,-81.202,+0014.0,2017,09,11,71.3,68.1,1003.2,6.5,21.4,38.1,84.9,61.0,1.37,999.9,1,1,0,0,0,0
72,723200,93801,34.348,-85.161,+0194.8,2017,05,23,70.0,67.2,986.6,8.2,2.9,17.1,79.0,66.0,0.37,999.9,0,1,0,0,1,0
73,722185,53838,34.272,-83.83,+0388.6,2017,08,11,74.9,71.3,974.6,8.2,3.7,8.0,84.9,68.0,0.26,999.9,1,1,0,0,0,0
74,722181,13837,33.467,-82.039,+0128.9,2017,08,14,81.4,73.8,998.6,8.1,3.6,8.0,93.0,77.0,0.0,999.9,0,1,0,0,1,0
75,723200,93801,34.348,-85.161,+0194.8,2017,01,01,46.4,42.9,994.9,5.3,3.4,7.0,52.0,42.1,0.62,999.9,0,1,0,0,0,0
76,722195,03888,33.779,-84.521,+0256.0,2017,05,24,69.4,62.7,972.0,10.0,6.3,15.0,79.0,62.6,0.39,999.9,0,1,0,0,1,0
77,722255,93842,32.516,-84.942,+0119.5,2017,01,21,63.6,61.4,993.7,7.6,5.3,25.1,73.0,59.0,0.41,999.9,1,1,0,0,1,0
78,722160,13869,31.536,-84.194,+0057.9,2017,05,23,74.7,72.0,1003.6,8.2,4.4,20.0,88.0,70.0,0.04,999.9,1,1,0,0,1,0
79,722195,03888,33.779,-84.521,+0256.0,2017,02,07,55.3,51.1,984.8,7.0,3.5,13.0,64.9,46.0,0.0,999.9,1,1,0,0,0,0
80,722137,13878,31.152,-81.391,+0004.9,2017,08,27,81.5,75.2,1012.2,9.3,14.8,26.0,86.0,77.0,0.73,999.9,0,1,0,0,0,0
81,723160,13870,31.536,-82.507,+0058.8,2017,06,21,79.1,74.5,1010.2,8.4,2.8,8.0,87.1,73.9,0.03,999.9,0,1,0,0,0,0
82,722185,53838,34.272,-83.83,+0388.6,2017,03,14,39.4,34.4,966.8,8.5,9.2,15.9,46.0,32.0,0.14,999.9,0,1,0,0,0,0
83,723110,13873,33.948,-83.328,+0239.3,2017,06,20,73.3,72.5,988.8,7.6,2.2,6.0,89.1,68.0,0.15,999.9,1,1,0,0,1,0
84,722197,53819,33.355,-84.567,+0243.2,2017,03,13,39.3,35.8,992.2,9.0,4.8,9.9,44.1,34.0,0.03,999.9,0,1,0,0,0,0
85,722166,93845,30.783,-83.277,+0060.4,2017,05,24,72.0,69.4,997.8,9.1,6.0,12.0,82.9,66.0,0.0,999.9,0,1,0,0,1,0
86,723110,13873,33.948,-83.328,+0239.3,2017,09,12,63.0,61.8,977.1,7.9,7.7,25.1,66.9,57.0,3.01,999.9,0,1,0,0,0,0
87,747810,13857,30.967,-83.2,+0071.0,2017,01,04,58.1,53.1,1002.6,6.6,3.3,12.0,79.0,49.5,0.0,999.9,1,0,0,0,0,0
88,723160,13870,31.536,-82.507,+0058.8,2017,06,30,81.1,74.0,1011.6,7.7,3.2,13.0,93.0,73.4,0.17,999.9,0,1,0,0,1,0
89,747804,13824,32.017,-81.133,+0012.5,2017,10,04,74.6,64.4,1024.0,10.0,8.7,15.0,82.6,68.0,0.0,999.9,0,1,0,0,0,0
90,723110,13873,33.948,-83.328,+0239.3,2017,09,06,68.6,64.9,984.1,7.1,3.5,14.0,88.0,62.1,0.86,999.9,0,1,0,0,1,0
91,722196,53863,33.875,-84.302,+0305.4,2017,02,07,55.7,51.0,979.5,6.3,4.0,15.0,66.9,37.9,0.01,999.9,1,1,0,0,0,0
92,722250,13829,32.35,-85.0,+0070.7,2017,02,02,57.4,50.3,1013.0,8.5,2.7,12.0,75.4,42.3,99.99,999.9,1,1,0,0,0,0
93,722270,13864,33.917,-84.517,+0325.5,2017,04,05,62.2,55.9,971.6,7.4,4.5,15.9,69.1,57.2,2.02,999.9,1,1,0,0,1,0
94,722181,13837,33.467,-82.039,+0128.9,2017,08,31,76.1,70.8,1002.5,9.5,3.6,12.0,91.0,71.1,0.03,999.9,0,1,0,0,1,0
95,722197,53819,33.355,-84.567,+0243.2,2017,06,20,74.4,72.8,989.3,7.8,1.4,7.0,88.0,69.1,0.44,999.9,1,1,0,0,0,0
96,722196,53863,33.875,-84.302,+0305.4,2017,04,05,61.6,55.7,974.7,7.7,3.9,20.0,81.0,55.0,0.0,999.9,1,1,0,0,1,0
97,722181,13837,33.467,-82.039,+0128.9,2017,10,08,80.3,75.1,998.4,9.5,7.4,15.9,89.1,73.0,0.01,999.9,0,1,0,0,0,0
98,722250,13829,32.35,-85.0,+0070.7,2017,01,31,50.9,36.2,1011.5,9.2,3.9,11.1,75.4,28.2,99.99,999.9,0,1,0,0,0,0
99,722196,53863,33.875,-84.302,+0305.4,2017,06,20,72.9,70.2,982.1,7.7,3.1,11.1,88.0,68.0,0.05,999.9,1,1,0,0,1,0
100,722156,53873,34.123,-84.849,+0232.6,2017,10,09,75.8,74.0,985.4,9.0,2.4,8.9,84.0,71.1,1.09,999.9,0,1,0,0,0,0
101,722137,13878,31.152,-81.391,+0004.9,2017,10,07,79.9,77.6,1014.3,9.2,4.6,11.1,86.0,75.0,0.0,999.9,0,0,0,0,0,0
102,722156,53873,34.123,-84.849,+0232.6,2017,07,05,76.9,72.8,992.5,6.8,0.9,5.1,89.1,68.0,0.95,999.9,0,1,0,0,1,0
103,722197,53819,33.355,-84.567,+0243.2,2017,10,07,75.4,70.5,987.1,8.9,5.1,8.0,84.9,55.0,0.0,999.9,0,0,0,0,0,0
104,722255,93842,32.516,-84.942,+0119.5,2017,07,25,77.0,73.4,1003.8,8.5,2.3,8.9,93.9,73.9,0.58,999.9,0,1,0,0,1,0
105,722185,53838,34.272,-83.83,+0388.6,2017,04,24,54.0,51.5,963.0,9.3,8.5,12.0,64.9,50.0,1.1,999.9,0,1,0,0,0,0
106,722070,03822,32.131,-81.202,+0014.0,2017,08,10,79.6,73.4,1019.0,9.0,3.3,8.9,90.0,73.0,2.05,999.9,1,0,0,0,0,0
107,722180,03820,33.364,-81.963,+0040.2,2017,06,05,79.3,72.3,1005.7,9.7,5.0,13.0,91.0,69.1,0.36,999.9,0,1,0,0,1,0
108,722137,13878,31.152,-81.391,+0004.9,2017,06,08,71.6,67.6,1007.4,8.1,11.0,20.0,80.1,68.0,1.76,999.9,0,1,0,0,0,0
109,722160,13869,31.536,-84.194,+0057.9,2017,01,21,67.7,66.1,1003.3,7.7,7.6,26.0,75.9,60.8,0.48,999.9,0,1,0,0,1,0
110,747812,63813,34.013,-84.599,+0317.0,2017,09,04,71.6,60.5,982.0,10.0,2.8,8.9,84.9,57.9,0.0,999.9,0,0,0,0,0,0
111,722156,53873,34.123,-84.849,+0232.6,2017,10,16,61.8,54.9,992.7,9.3,5.9,15.0,82.9,53.1,0.75,999.9,0,1,0,0,0,0
112,722270,13864,33.917,-84.517,+0325.5,2017,06,22,73.1,70.7,980.2,7.1,5.1,12.0,81.7,69.6,0.22,999.9,0,1,0,0,1,0
113,722270,13864,33.917,-84.517,+0325.5,2017,03,14,39.8,34.3,975.4,8.5,10.5,17.1,43.3,35.4,0.19,999.9,0,1,0,0,0,0
114,722070,03822,32.131,-81.202,+0014.0,2017,01,22,61.8,58.8,1001.7,7.3,7.8,22.9,79.0,59.0,2.57,999.9,0,1,0,0,1,0
115,723200,93801,34.348,-85.161,+0194.8,2017,08,12,79.6,74.5,991.4,7.9,2.0,8.9,91.0,72.0,0.0,999.9,1,1,0,0,0,0
116,722156,53873,34.123,-84.849,+0232.6,2017,04,19,68.7,59.7,996.0,10.0,4.9,8.0,80.1,59.0,0.02,999.9,0,1,0,0,0,0
117,722270,13864,33.917,-84.517,+0325.5,2017,05,04,66.2,55.6,971.7,6.4,8.9,18.1,82.9,51.4,0.1,999.9,0,1,0,0,0,0
118,722195,03888,33.779,-84.521,+0256.0,2017,03,14,41.0,34.5,983.9,8.7,8.7,17.1,45.0,36.0,0.09,999.9,0,1,0,0,0,0
119,747808,63803,33.98,-83.963,+0323.4,2017,10,16,66.0,57.3,981.0,9.7,5.5,12.0,82.9,59.0,0.0,999.9,0,1,0,0,0,0
120,722190,13874,33.63,-84.442,+0307.9,2017,05,23,69.0,66.1,973.8,6.9,4.9,8.9,73.0,66.2,1.44,999.9,0,1,0,0,0,0
121,723110,13873,33.948,-83.328,+0239.3,2017,05,13,67.0,63.6,979.7,8.7,3.5,14.0,84.0,62.1,0.07,999.9,0,1,0,0,1,0
122,722166,93845,30.783,-83.277,+0060.4,2017,01,15,60.7,54.6,1019.3,5.5,0.7,6.0,78.1,44.1,0.0,999.9,1,0,0,0,0,0
123,723200,93801,34.348,-85.161,+0194.8,2017,06,05,74.5,72.1,987.8,8.7,4.7,15.9,84.0,71.1,1.74,999.9,0,1,0,0,1,0
124,747808,63803,33.98,-83.963,+0323.4,2017,10,04,67.3,54.1,990.6,10.0,6.3,13.0,80.1,57.0,0.0,999.9,0,0,0,0,0,0
125,722190,13874,33.63,-84.442,+0307.9,2017,04,05,65.6,57.6,973.4,8.2,6.7,21.0,82.0,60.1,0.01,999.9,0,1,0,0,1,0
126,722196,53863,33.875,-84.302,+0305.4,2017,08,31,71.6,68.1,981.6,7.0,2.8,7.0,82.0,68.0,0.9,999.9,1,1,0,0,1,0
127,723160,13870,31.536,-82.507,+0058.8,2017,07,26,78.7,73.3,1010.9,9.2,1.7,9.9,93.0,73.0,0.0,999.9,0,1,0,0,0,0
128,722175,13860,32.633,-83.6,+0089.6,2017,01,17,59.7,53.1,1012.4,7.2,3.1,11.1,77.4,48.2,0.0,999.9,1,0,0,0,0,0
129,722180,03820,33.364,-81.963,+0040.2,2017,05,23,72.2,69.4,1005.2,7.4,2.5,8.0,73.9,69.8,0.94,999.9,0,1,0,0,0,0
130,722270,13864,33.917,-84.517,+0325.5,2017,02,08,57.1,55.9,970.5,5.2,2.7,7.0,65.5,45.3,0.45,999.9,1,1,0,0,0,0
131,722270,13864,33.917,-84.517,+0325.5,2017,09,12,61.4,59.0,966.2,4.2,10.0,18.1,63.3,55.9,3.6,999.9,0,1,0,0,0,0
132,722190,13874,33.63,-84.442,+0307.9,2017,06,05,73.9,69.9,975.0,7.3,6.6,17.1,82.9,70.0,0.82,999.9,0,1,0,0,0,0
133,722197,53819,33.355,-84.567,+0243.2,2017,04,23,65.1,61.8,981.2,10.0,3.3,13.0,82.9,55.9,0.0,999.9,0,1,0,0,0,0
134,722196,53863,33.875,-84.302,+0305.4,2017,06,05,73.3,68.5,976.2,6.8,5.3,21.0,84.0,69.1,0.99,999.9,1,1,0,0,1,0
135,722255,93842,32.516,-84.942,+0119.5,2017,08,09,78.4,73.6,1004.2,9.1,2.5,19.0,87.1,75.0,0.04,999.9,0,1,0,0,1,0
136,723160,13870,31.536,-82.507,+0058.8,2017,06,07,73.3,70.4,999.1,7.5,2.6,8.9,81.0,70.0,0.89,999.9,1,1,0,0,1,0
137,747810,13857,30.967,-83.2,+0071.0,2017,01,21,69.2,65.7,1001.8,9.4,9.7,22.9,77.5,60.4,1.42,999.9,1,1,0,0,1,0
138,722156,53873,34.123,-84.849,+0232.6,2017,05,24,66.9,62.6,974.9,9.7,4.0,13.0,78.1,60.1,1.16,999.9,1,1,0,0,1,0
139,722181,13837,33.467,-82.039,+0128.9,2017,04,03,68.2,59.9,998.7,9.4,8.3,15.0,82.9,57.9,0.0,999.9,0,1,0,0,1,0
140,722090,03875,31.883,-81.567,+0013.7,2017,01,21,66.9,63.1,1008.5,8.7,1.9,27.0,79.3,56.5,0.01,999.9,1,1,0,0,1,0
141,722255,93842,32.516,-84.942,+0119.5,2017,04,05,71.1,62.9,995.3,10.0,5.8,12.0,84.0,63.0,0.3,999.9,0,1,0,0,1,0
142,722180,03820,33.364,-81.963,+0040.2,2017,01,21,64.2,59.4,1004.1,7.6,3.3,13.0,81.0,55.0,0.0,999.9,1,1,0,0,1,0
143,722197,53819,33.355,-84.567,+0243.2,2017,01,02,53.9,53.3,991.2,6.1,4.3,12.0,57.9,42.1,0.97,999.9,1,1,0,0,1,0
144,747804,13824,32.017,-81.133,+0012.5,2017,01,27,52.2,34.8,1014.3,10.0,6.7,18.1,72.5,42.6,0.02,999.9,0,1,0,0,1,0
145,722181,13837,33.467,-82.039,+0128.9,2017,05,13,71.5,62.1,993.0,8.9,4.1,8.9,88.0,66.0,0.04,999.9,0,1,0,0,1,0
146,722255,93842,32.516,-84.942,+0119.5,2017,01,02,62.2,61.6,1004.4,5.9,4.3,31.1,64.9,44.1,2.34,999.9,1,1,0,0,1,0
147,722181,13837,33.467,-82.039,+0128.9,2017,06,30,77.6,70.6,1004.2,8.9,4.1,15.9,90.0,73.0,0.36,999.9,0,1,0,0,0,0
148,722197,53819,33.355,-84.567,+0243.2,2017,10,08,75.6,73.2,982.2,6.9,7.6,14.0,84.0,72.0,0.14,999.9,0,1,0,0,0,0
149,722185,53838,34.272,-83.83,+0388.6,2017,10,09,74.4,72.3,968.5,9.6,5.1,11.1,78.1,70.0,1.36,999.9,0,1,0,0,0,0
150,722166,93845,30.783,-83.277,+0060.4,2017,06,07,72.4,69.9,998.8,8.7,4.1,21.0,82.0,66.9,1.87,999.9,0,1,0,0,1,0
151,722137,13878,31.152,-81.391,+0004.9,2017,09,10,74.1,70.2,1014.2,5.8,19.3,28.0,79.0,68.0,0.14,999.9,0,1,0,0,0,0
152,747808,63803,33.98,-83.963,+0323.4,2017,10,08,73.2,71.7,973.2,7.1,6.1,9.9,79.0,70.0,0.0,999.9,0,1,0,0,0,0
153,723160,13870,31.536,-82.507,+0058.8,2017,08,27,78.7,71.5,1007.0,10.0,5.1,8.0,90.0,75.0,0.13,999.9,0,0,0,0,0,0
154,722175,13860,32.633,-83.6,+0089.6,2017,01,06,48.2,41.0,1003.9,9.1,4.8,17.1,63.9,35.6,0.62,999.9,0,1,0,0,0,0
155,722181,13837,33.467,-82.039,+0128.9,2017,07,24,78.6,71.1,998.9,9.3,5.0,14.0,91.9,73.4,0.38,999.9,0,1,0,0,1,0
156,722250,13829,32.35,-85.0,+0070.7,2017,01,23,56.0,49.7,987.9,10.0,9.9,17.1,67.3,48.0,0.04,999.9,0,1,0,0,0,0
157,722195,03888,33.779,-84.521,+0256.0,2017,01,03,58.6,54.4,982.0,8.5,3.8,12.0,64.9,50.0,1.81,999.9,0,1,0,0,0,0
158,723200,93801,34.348,-85.161,+0194.8,2017,05,24,66.4,62.8,978.8,8.8,5.6,31.1,79.0,61.0,1.28,999.9,1,1,0,0,1,0
159,723160,13870,31.536,-82.507,+0058.8,2017,08,09,79.2,73.5,1010.9,9.9,1.8,12.0,93.0,73.0,0.0,999.9,0,1,0,0,1,0
160,722196,53863,33.875,-84.302,+0305.4,2017,06,15,78.0,67.6,980.2,7.6,4.4,22.0,91.9,69.1,0.01,999.9,0,1,0,0,1,0
161,722196,53863,33.875,-84.302,+0305.4,2017,04,28,73.2,65.3,979.4,6.6,4.8,12.0,84.0,63.0,0.02,999.9,1,0,0,0,0,0
162,722166,93845,30.783,-83.277,+0060.4,2017,08,30,78.8,74.1,1008.5,8.6,3.4,8.9,91.0,66.9,0.0,999.9,0,1,0,0,0,0
163,722156,53873,34.123,-84.849,+0232.6,2017,04,23,62.7,59.6,982.2,9.0,4.1,8.9,82.0,55.9,0.56,999.9,0,1,0,0,1,0
164,723160,13870,31.536,-82.507,+0058.8,2017,05,24,73.4,70.0,997.3,8.3,7.7,14.0,82.9,66.9,0.82,999.9,0,1,0,0,0,0
165,747808,63803,33.98,-83.963,+0323.4,2017,10,15,68.3,64.4,983.0,7.0,1.7,8.0,82.9,61.0,0.0,999.9,0,1,0,0,0,0
166,722185,53838,34.272,-83.83,+0388.6,2017,09,13,64.7,59.2,967.6,9.2,6.4,9.9,75.0,55.0,0.15,999.9,0,1,0,0,0,0
167,722166,93845,30.783,-83.277,+0060.4,2017,08,08,79.6,74.6,1009.3,7.5,2.0,7.0,93.0,70.0,0.11,999.9,0,1,0,0,1,0
